,age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,Predicted Income
79,20,4,72055,10,4,0,1,4,0,0,0,40,39,<=50K
80,45,5,67001,10,2,6,0,4,1,0,0,50,39,>50K
81,23,4,213734,13,4,3,1,4,1,0,0,40,39,<=50K
82,24,4,83141,10,5,8,1,4,1,0,1876,40,39,<=50K
83,44,5,223881,9,2,2,0,4,1,99999,0,50,27,>50K
84,31,6,113752,10,2,2,0,4,1,0,0,50,39,<=50K
85,43,4,170482,9,5,6,1,4,0,0,0,44,39,<=50K
86,20,0,244689,7,4,8,3,4,0,0,0,10,39,<=50K
87,55,4,160631,9,2,12,0,4,1,0,0,56,39,>50K
88,24,0,228724,10,4,1,1,4,1,0,0,40,39,<=50K
89,41,3,38434,14,2,7,5,4,0,7688,0,10,39,>50K
90,59,4,292946,13,4,3,1,4,0,0,0,25,39,<=50K
91,49,0,77443,4,4,8,1,2,1,0,0,20,39,<=50K
92,33,4,176410,14,2,10,5,4,0,5178,0,10,39,>50K
93,59,0,98984,13,0,0,1,4,1,0,0,40,39,<=50K
94,34,4,198751,14,4,8,1,0,1,0,0,40,39,<=50K
95,20,4,479296,9,4,5,3,4,1,0,0,40,39,<=50K
96,25,4,235218,13,4,3,3,4,0,0,0,40,39,<=50K
97,49,4,164877,6,2,4,0,4,1,0,0,40,39,<=50K
98,59,4,272087,9,2,14,0,4,1,0,0,40,39,<=50K
99,20,4,169699,9,4,0,1,4,0,0,0,40,39,<=50K
100,51,3,189762,10,2,7,5,4,0,0,0,18,39,<=50K
101,33,4,202191,10,4,0,4,2,0,0,0,35,39,<=50K
102,22,4,212261,10,4,14,3,2,1,0,0,39,39,<=50K
103,58,6,301568,5,6,8,1,4,0,0,0,40,39,<=50K
104,52,1,155233,9,6,0,4,4,0,0,0,28,39,<=50K
105,36,4,75826,6,5,6,1,4,0,0,0,40,39,<=50K
106,41,1,201520,9,2,11,0,4,1,0,0,40,39,>50K
107,28,4,154236,9,4,14,3,4,1,2597,0,40,39,<=50K
108,19,4,289227,10,4,5,3,2,1,0,0,16,39,<=50K
109,18,4,217439,9,4,8,1,4,0,0,0,28,39,<=50K
110,18,4,179020,9,4,6,3,4,0,0,0,48,39,<=50K
111,28,4,149624,10,2,2,0,4,1,0,0,40,39,<=50K
112,29,4,337266,11,2,3,0,4,1,0,0,40,39,>50K
113,20,3,30796,9,4,7,3,4,0,0,0,20,39,<=50K
114,40,4,103541,10,2,5,0,4,1,0,0,40,39,>50K
115,26,4,206721,9,4,5,4,4,1,0,0,40,39,<=50K
116,46,4,96773,9,2,2,0,4,1,0,0,40,39,<=50K
117,23,4,200967,7,4,8,1,4,0,0,0,24,39,<=50K
118,44,4,180019,9,3,0,4,4,0,0,0,40,39,<=50K
119,43,4,179866,13,0,12,4,4,0,0,0,40,39,<=50K
120,31,1,198770,13,0,10,4,4,0,0,0,60,39,<=50K
121,18,4,219256,10,4,12,3,4,0,0,0,25,39,<=50K
122,19,4,248730,10,4,11,3,4,1,0,0,30,39,<=50K
123,41,4,110732,10,0,13,1,4,0,0,0,40,39,<=50K
124,41,4,181020,9,0,5,4,4,0,0,0,40,39,<=50K
125,69,4,183791,9,0,0,1,4,0,0,0,25,39,<=50K
126,48,0,42972,16,2,10,5,4,0,0,0,40,39,>50K
127,28,4,134813,9,4,10,3,4,1,0,0,40,39,<=50K
128,27,6,115438,9,2,2,0,4,1,0,0,60,20,<=50K
129,41,4,239296,14,2,10,0,4,1,0,2415,50,39,>50K
130,41,4,428420,10,2,0,0,4,1,0,0,40,39,>50K
131,24,4,247846,9,4,2,4,2,0,0,0,40,39,<=50K
132,20,3,334105,9,4,7,1,4,0,0,0,40,39,<=50K
133,42,5,100793,16,2,10,0,4,1,0,0,41,39,>50K
134,57,4,244478,9,2,2,0,2,1,0,0,48,39,>50K
135,30,4,142921,12,4,10,1,4,0,0,0,40,39,<=50K
136,36,4,182863,9,2,12,0,4,1,0,0,60,39,<=50K
137,49,4,171128,4,2,6,0,2,1,0,0,40,39,<=50K
138,33,4,145402,9,2,6,5,4,0,0,0,35,39,<=50K
139,23,4,306309,6,2,4,0,4,1,0,0,40,39,<=50K
140,46,4,83822,14,2,10,0,4,1,0,0,40,39,>50K
141,18,4,262118,10,4,0,3,1,0,0,0,22,10,<=50K
142,40,4,155972,9,2,3,0,4,1,7688,0,55,39,>50K
143,43,5,214503,9,2,3,0,4,1,0,1887,45,39,>50K
144,34,4,159303,14,4,10,3,4,0,0,0,30,39,<=50K
145,47,6,174995,9,6,3,1,4,0,0,0,30,39,<=50K
146,44,4,26669,11,6,3,4,4,0,0,0,30,39,<=50K
147,33,4,177727,9,2,12,0,4,1,0,0,40,39,<=50K
148,55,4,124771,13,2,3,0,4,1,15024,0,50,39,>50K
149,19,4,456736,9,4,12,1,4,1,2907,0,30,39,<=50K
150,28,4,216604,10,4,8,1,2,1,0,0,14,39,<=50K
151,27,4,221561,7,2,8,5,2,0,0,0,32,39,<=50K
152,50,4,114564,4,2,6,0,4,1,0,0,20,39,<=50K
153,22,4,315476,7,4,2,4,4,1,0,0,40,39,<=50K
154,40,7,67874,13,2,0,0,4,1,0,1887,45,39,>50K
155,25,4,126110,10,4,0,3,4,0,0,0,40,39,<=50K
156,26,1,102264,9,4,2,1,4,1,0,0,40,39,<=50K
157,22,4,537222,13,4,12,1,4,1,0,0,25,39,<=50K
158,42,4,113732,10,4,5,4,2,0,0,625,40,39,<=50K
159,38,5,93225,13,0,3,1,4,1,0,0,40,39,<=50K
160,55,4,43064,7,2,8,0,4,1,0,0,30,39,<=50K
161,32,4,136921,9,2,12,0,4,1,0,0,40,39,<=50K
162,22,4,388885,9,2,2,0,4,1,0,0,45,39,<=50K
163,29,4,142249,13,4,12,3,4,1,0,0,40,39,<=50K
164,46,7,56841,14,2,3,0,4,1,0,0,45,39,>50K
165,31,4,156493,10,2,3,0,4,1,0,0,40,39,>50K
166,58,6,159021,16,2,10,0,4,1,0,0,16,39,>50K
167,42,4,190910,9,2,2,0,4,1,0,0,45,39,>50K
168,18,4,41879,9,4,5,4,4,1,0,0,25,39,<=50K
169,58,1,137249,9,0,3,1,4,1,0,0,33,39,<=50K
170,54,4,236157,9,2,10,0,4,1,0,1887,40,39,>50K
171,34,4,189759,14,4,10,1,4,1,0,0,40,39,<=50K
172,26,4,239877,13,4,0,1,4,0,0,0,40,39,<=50K
173,61,4,21175,8,2,3,0,4,1,0,0,60,39,>50K
174,48,1,67229,14,5,0,4,2,0,0,0,40,39,<=50K
175,36,4,236391,10,2,3,0,4,1,0,0,45,39,>50K
176,24,4,325596,11,2,6,0,4,1,0,0,45,39,<=50K
177,40,4,83411,10,2,6,0,4,1,0,0,37,39,>50K
178,33,5,154227,9,2,12,0,4,1,0,0,50,39,>50K
179,37,4,248010,10,2,6,0,4,1,0,1887,40,39,>50K
180,34,4,198613,14,4,3,3,4,1,4650,0,40,39,<=50K
181,56,5,321529,10,2,3,0,4,1,15024,0,40,39,>50K
182,28,3,168524,9,2,7,3,4,0,0,0,38,39,>50K
183,37,4,203079,13,6,3,1,4,0,0,0,55,39,<=50K
184,44,4,284652,9,0,12,4,2,0,0,0,40,39,<=50K
185,64,3,201368,10,2,7,0,4,1,0,0,8,39,<=50K
186,54,4,59840,9,0,5,1,4,1,0,0,45,39,<=50K
187,23,4,52753,9,4,6,1,4,1,0,0,50,39,<=50K
188,34,7,513100,13,3,4,1,2,1,0,0,40,27,<=50K
189,22,4,199266,9,4,8,1,4,0,0,0,45,39,<=50K
190,33,4,196385,13,2,3,0,4,1,0,1977,40,39,>50K
191,39,4,163205,13,5,10,1,4,1,0,0,50,39,<=50K
192,47,4,411047,10,0,0,1,2,0,0,0,37,39,<=50K
193,79,3,48574,4,6,7,1,4,1,0,0,40,39,<=50K
194,26,4,209440,9,4,10,4,2,0,0,0,55,39,<=50K
195,31,4,56964,10,0,3,4,4,0,0,0,40,39,<=50K
196,44,4,299197,10,4,14,1,4,1,0,0,45,39,<=50K
197,42,5,240628,15,2,10,5,4,0,0,0,50,39,>50K
198,19,4,355313,9,4,6,1,4,0,0,0,40,39,<=50K
199,27,4,132267,9,2,5,0,4,1,0,0,40,39,<=50K
200,51,1,174861,10,2,11,0,4,1,0,0,40,39,>50K
201,28,5,142443,13,2,3,0,4,1,0,0,50,39,>50K
202,57,4,26716,13,0,2,1,4,1,0,0,45,39,<=50K
203,45,1,185588,13,0,10,4,4,0,0,0,40,39,<=50K
204,50,4,175029,11,2,10,0,4,1,0,0,40,39,>50K
205,34,5,34848,13,2,12,0,4,1,0,0,54,39,>50K
206,45,4,411273,4,2,2,0,2,1,0,0,40,39,<=50K
207,73,1,143437,9,2,3,0,4,1,0,0,20,39,<=50K
208,34,4,357145,13,2,10,5,4,0,0,0,50,39,>50K
209,31,4,236861,10,2,12,0,4,1,0,0,55,39,>50K
210,19,4,53355,7,4,12,1,4,1,0,0,12,39,<=50K
211,25,4,29106,10,4,8,3,4,0,0,0,50,39,<=50K
212,38,0,213274,11,0,2,4,4,0,6497,0,40,39,<=50K
213,39,4,22463,13,2,14,0,4,1,0,0,40,39,<=50K
214,23,4,180497,13,4,13,3,2,0,0,0,32,39,<=50K
215,49,4,37306,9,2,6,0,4,1,0,0,40,39,<=50K
216,33,0,137814,9,4,8,1,4,1,0,0,32,39,<=50K
217,21,4,447488,3,4,6,2,4,1,0,0,38,25,<=50K
218,31,4,220915,11,5,2,1,4,1,0,0,40,39,<=50K
219,23,4,42251,13,4,3,1,4,0,0,0,45,39,<=50K
220,34,4,162312,13,2,0,0,1,1,0,0,40,30,>50K
221,25,4,77698,9,4,6,1,1,0,0,0,40,30,<=50K
222,39,4,282951,9,4,2,4,4,1,0,0,40,39,<=50K
223,52,5,311259,9,2,12,0,4,1,0,0,40,39,>50K
224,63,1,65479,5,2,14,0,4,1,7688,0,40,39,>50K
225,41,4,277256,10,2,2,0,4,1,0,0,40,39,>50K
226,46,4,312088,13,2,10,0,4,1,15024,0,38,39,>50K
227,53,1,169719,9,2,3,0,4,1,0,0,40,39,>50K
228,25,3,270276,5,5,7,1,4,0,1055,0,40,39,<=50K
229,77,3,172744,10,2,7,0,4,1,0,0,35,39,<=50K
230,18,4,96869,8,4,9,3,4,1,0,0,40,39,<=50K
231,38,4,237943,15,2,10,0,4,1,0,0,50,39,>50K
232,55,4,119751,14,4,3,4,1,0,0,0,50,37,<=50K
233,34,4,236861,9,2,13,0,4,1,0,0,40,39,>50K
234,80,6,201092,9,2,8,0,4,1,0,0,30,39,<=50K
235,34,4,147215,11,0,13,4,4,0,0,0,60,39,<=50K
236,52,4,152373,10,2,13,0,4,1,5013,0,40,39,<=50K
237,42,4,227968,9,4,8,4,2,0,0,0,28,13,<=50K
238,26,4,362617,10,4,12,1,4,0,0,0,40,39,<=50K
239,31,4,103435,9,2,14,0,4,1,0,0,40,39,<=50K
240,25,1,281412,9,4,8,3,4,0,0,0,35,39,<=50K
241,55,6,105239,9,2,2,0,4,1,0,2057,60,39,<=50K
242,19,4,230165,10,4,8,3,4,0,0,0,12,39,<=50K
243,62,6,177493,10,2,14,0,4,1,0,0,32,39,<=50K
244,22,0,104443,10,4,0,3,4,0,0,0,20,39,<=50K
245,39,3,110342,9,2,7,5,4,0,0,0,50,39,<=50K
246,35,4,143385,9,2,5,0,4,1,0,0,40,39,<=50K
247,28,4,107189,9,2,12,3,4,0,0,0,40,39,>50K
248,47,4,212944,9,2,14,0,4,1,0,0,70,39,>50K
249,44,7,138634,9,2,6,0,4,1,0,0,40,39,<=50K
250,21,4,99970,10,4,12,3,4,1,0,0,15,39,<=50K
251,35,4,203717,11,4,2,1,4,1,0,0,50,39,<=50K
252,24,4,313956,13,2,10,0,4,1,0,0,40,39,<=50K
253,42,0,177937,13,4,10,1,4,1,0,0,40,27,<=50K
254,28,4,193868,13,4,13,3,4,1,0,0,50,39,<=50K
255,21,4,250939,10,4,6,2,4,1,0,0,35,39,<=50K
256,62,0,57629,10,0,13,1,2,1,4650,0,40,39,<=50K
257,39,4,281768,9,4,8,1,2,0,0,0,40,39,<=50K
258,30,7,260782,9,4,8,1,4,1,0,0,40,39,<=50K
259,72,6,243769,15,4,10,1,4,1,0,1429,20,39,<=50K
260,50,4,109937,10,2,3,5,4,0,0,0,50,39,>50K
261,28,1,134890,14,4,10,1,4,1,0,0,40,39,<=50K
262,29,4,100293,10,4,10,1,4,0,0,0,40,39,<=50K
263,26,4,132179,13,4,0,3,4,0,0,0,40,39,<=50K
264,27,4,116372,14,4,3,1,4,0,0,0,40,39,<=50K
265,29,4,255412,10,2,5,0,4,1,3103,0,40,39,>50K
266,61,3,195789,9,2,7,0,4,1,0,0,40,39,<=50K
267,29,4,342400,6,2,2,0,4,1,0,0,25,39,<=50K
268,21,3,65481,10,4,7,3,4,0,0,0,30,39,<=50K
269,31,4,169085,7,2,12,5,4,0,0,0,20,39,<=50K
270,25,4,177221,9,2,3,0,4,1,0,0,75,39,<=50K
271,58,4,65325,6,2,14,0,4,1,0,0,40,39,<=50K
272,64,4,118944,10,2,3,5,4,0,0,0,40,39,>50K
273,46,7,149337,14,4,3,1,4,1,0,0,38,39,<=50K
274,53,3,237868,9,2,7,0,4,1,0,0,35,39,<=50K
275,19,4,106183,9,4,8,3,0,0,0,0,35,39,<=50K
276,42,4,226388,9,0,8,1,2,1,0,0,52,39,<=50K
277,18,4,220754,7,4,5,3,4,1,0,0,24,39,<=50K
278,58,5,204021,13,2,2,0,4,1,15024,0,50,39,>50K
279,20,4,347391,10,4,11,1,2,1,0,0,60,39,<=50K
280,35,0,413930,9,2,2,0,4,1,0,0,40,39,<=50K
281,32,4,174201,9,2,5,0,4,1,0,0,38,39,<=50K
282,23,4,145917,9,4,5,1,4,0,0,0,25,39,<=50K
283,31,4,241797,10,0,13,4,4,0,0,0,40,39,<=50K
284,33,4,265168,13,2,12,0,2,1,0,0,55,39,>50K
285,41,4,171234,10,4,6,1,4,0,0,0,48,39,<=50K
286,22,4,178452,9,4,6,3,2,1,0,0,40,39,<=50K
287,46,4,157857,10,2,11,0,4,1,0,0,40,39,>50K
288,61,0,512864,10,2,14,0,2,1,0,0,40,39,<=50K
289,30,4,296462,9,4,3,1,2,1,0,0,40,39,<=50K
290,42,4,171615,9,2,3,0,4,1,0,0,55,39,>50K
291,63,4,214071,6,2,5,0,4,1,0,0,40,39,<=50K
292,26,4,172421,10,2,12,0,4,1,0,0,40,39,<=50K
293,42,4,195488,6,0,0,4,4,0,0,0,40,39,<=50K
294,23,4,316841,10,2,8,0,4,1,0,0,40,39,<=50K
295,25,4,236267,9,4,6,4,4,1,0,1590,40,39,<=50K
296,30,4,236543,5,2,8,0,4,1,0,0,32,7,<=50K
297,23,4,318483,9,4,12,3,4,1,0,0,40,39,<=50K
298,34,6,163756,11,4,4,1,4,1,27828,0,60,39,>50K
299,30,4,238186,9,2,6,2,4,1,0,2057,48,39,<=50K
300,39,4,329980,10,2,2,0,4,1,0,0,40,39,>50K
301,30,4,169269,7,4,5,2,4,1,0,1721,38,33,<=50K
302,38,1,34744,10,0,0,4,4,0,0,0,38,39,<=50K
303,26,4,98114,9,0,3,3,4,0,0,0,40,39,<=50K
304,20,4,109667,10,4,5,3,4,1,0,0,16,39,<=50K
305,37,1,263690,13,4,10,4,2,1,0,0,40,27,<=50K
306,33,4,147430,9,2,0,3,4,0,0,0,40,39,>50K
307,24,4,224238,13,4,0,3,4,1,0,0,40,39,<=50K
308,42,5,212894,13,2,3,0,4,1,0,0,60,39,>50K
309,51,6,136708,9,2,12,0,1,1,3103,0,84,40,<=50K
310,56,1,38573,12,2,13,0,4,1,0,0,45,39,>50K
311,22,4,197200,10,4,5,3,4,1,0,0,40,39,<=50K
312,52,6,182796,10,2,4,0,4,1,0,0,60,39,<=50K
313,44,4,184527,13,0,3,4,4,0,4934,0,45,39,>50K
314,34,4,145231,9,2,0,5,4,0,4064,0,35,39,<=50K
315,51,4,43354,10,0,2,1,4,1,0,0,42,39,<=50K
316,20,3,318865,10,4,7,1,4,1,0,0,40,39,<=50K
317,19,4,355712,10,4,12,1,4,0,0,0,25,39,<=50K
318,37,4,98776,13,2,3,0,4,1,0,0,40,39,>50K
319,68,4,257557,9,2,6,0,2,1,0,0,40,39,<=50K
320,22,4,102258,10,0,11,1,4,1,0,0,40,39,<=50K
321,56,5,170287,13,2,3,0,4,1,0,0,40,39,>50K
322,37,4,243409,9,2,2,0,4,1,0,0,40,39,<=50K
323,52,4,55608,2,2,6,0,4,1,0,0,40,25,<=50K
324,26,4,248057,9,5,5,3,4,1,0,0,40,33,<=50K
325,33,4,95530,14,2,10,0,4,1,0,0,50,39,>50K
326,45,1,54038,14,0,10,4,4,0,0,0,42,39,<=50K
327,18,4,161245,7,4,8,3,4,1,0,0,15,39,<=50K
328,43,6,388725,10,2,4,0,4,1,0,0,60,39,<=50K
329,64,6,71807,16,2,10,0,4,1,15024,0,50,27,>50K
330,18,4,228216,9,4,5,3,4,1,0,0,20,39,<=50K
331,20,3,303121,10,4,7,3,4,1,0,0,45,39,<=50K
332,57,4,78020,9,2,2,0,4,1,0,0,40,39,<=50K
333,41,4,249254,9,0,0,4,4,0,3674,0,42,39,<=50K
334,34,4,87218,14,2,3,0,4,1,0,1887,50,39,>50K
335,19,4,304299,9,4,12,4,4,0,0,0,40,39,<=50K
336,44,4,196234,5,0,8,4,4,0,0,0,55,5,<=50K
337,56,4,197875,6,6,8,4,4,0,0,0,40,39,<=50K
338,36,5,48063,9,2,4,0,4,1,0,0,80,39,<=50K
339,48,4,253596,13,0,3,4,4,0,0,0,48,39,<=50K
340,29,4,39257,9,2,14,0,4,1,0,0,40,39,<=50K
341,33,4,56150,13,4,2,1,4,1,2174,0,40,39,<=50K
342,31,4,179415,3,2,8,0,4,1,0,0,40,25,<=50K
343,39,4,252445,14,2,10,0,4,1,0,0,45,39,>50K
344,66,4,275918,9,2,3,0,4,1,10605,0,40,39,>50K
345,27,4,106562,13,4,10,1,4,0,0,0,50,39,<=50K
346,39,4,198654,9,0,3,4,2,0,99999,0,40,39,>50K
347,59,4,107318,4,2,2,0,4,1,5178,0,50,39,>50K
348,26,4,181896,9,4,8,3,4,0,0,0,40,39,<=50K
349,31,4,106014,11,0,2,4,4,1,0,0,40,39,<=50K
350,45,3,319993,9,6,7,4,4,0,0,0,40,25,<=50K
351,23,4,197997,9,4,5,3,4,1,0,0,30,39,<=50K
352,36,1,173542,9,0,0,4,4,0,0,0,40,39,<=50K
353,34,4,207564,10,2,8,5,4,0,0,0,12,39,<=50K
354,32,4,224462,9,2,14,0,4,1,0,0,84,39,>50K
355,37,4,123361,13,2,10,0,2,1,0,0,50,39,>50K
356,33,4,90409,13,4,12,1,4,1,0,0,45,39,<=50K
357,50,6,165001,15,2,10,0,4,1,99999,0,80,39,>50K
358,32,0,149573,12,4,11,1,2,1,0,0,40,39,<=50K
359,35,4,249456,13,4,0,3,2,0,0,0,40,39,<=50K
360,37,4,149898,7,2,2,0,4,1,0,0,40,39,<=50K
361,44,4,292985,10,0,2,1,4,1,0,0,60,39,<=50K
362,57,4,50223,10,0,5,2,4,1,0,0,25,39,<=50K
363,29,1,400074,10,2,3,3,4,0,0,0,40,39,>50K
364,55,4,197399,9,2,2,0,4,1,0,0,50,39,>50K
365,43,5,209547,15,2,10,0,4,1,0,0,25,39,>50K
366,43,4,52433,10,2,12,0,4,1,0,0,70,39,<=50K
367,45,6,355978,10,2,12,0,4,1,0,0,60,39,>50K
368,33,6,48214,14,2,10,5,4,0,0,0,8,39,<=50K
369,26,4,190873,6,0,8,4,4,0,0,0,40,10,<=50K
370,23,4,278390,10,2,12,0,4,1,0,0,68,39,<=50K
371,41,4,203217,4,5,2,1,4,1,0,0,40,25,<=50K
372,24,4,279175,9,2,2,0,4,1,0,0,40,39,<=50K
373,47,6,194590,13,2,12,0,4,1,0,0,44,39,>50K
374,34,6,198813,9,4,2,3,4,1,0,0,45,39,<=50K
375,40,4,187294,9,2,3,0,4,1,0,0,40,39,>50K
376,28,4,302903,13,2,10,5,1,0,0,1485,40,39,<=50K
377,24,4,154835,9,4,3,3,1,0,0,0,40,35,<=50K
378,73,3,73402,10,2,7,0,4,1,0,0,10,39,<=50K
379,23,4,100345,9,4,2,2,4,1,0,0,15,39,<=50K
380,43,6,126320,9,2,3,0,2,1,0,0,40,39,<=50K
381,26,4,142226,13,0,13,1,4,0,0,0,40,39,<=50K
382,58,6,112076,16,1,3,5,4,0,0,1485,35,39,>50K
383,52,4,225339,9,6,0,4,2,0,0,0,35,39,<=50K
384,29,4,211208,7,2,14,0,4,1,0,0,99,39,<=50K
385,47,4,200808,7,2,8,0,4,1,0,0,35,3,<=50K
386,49,4,220618,9,0,0,4,2,0,0,0,37,39,<=50K
387,40,4,210493,7,6,0,4,4,0,0,0,40,39,<=50K
388,62,6,369734,9,2,0,5,4,0,0,0,40,39,<=50K
389,49,4,27898,9,2,3,0,4,1,0,1977,55,39,>50K
390,50,4,138193,13,0,10,2,4,0,0,0,50,39,>50K
391,31,4,224234,9,4,14,3,2,1,0,0,40,39,<=50K
392,48,1,188741,14,4,10,1,4,0,0,0,50,39,<=50K
393,24,4,183772,9,4,2,4,4,0,0,0,40,39,<=50K
394,41,3,155041,9,4,7,3,4,0,3418,0,40,39,<=50K
395,37,4,79586,9,5,6,3,1,1,0,0,60,39,<=50K
396,45,4,355781,13,2,3,0,1,1,0,0,45,23,>50K
397,63,3,156158,9,2,7,0,4,1,0,0,16,39,<=50K
398,36,4,116358,14,2,3,0,1,1,0,0,45,18,>50K
399,45,4,59287,13,2,3,0,4,1,0,0,40,39,>50K
400,41,4,138868,13,4,12,1,4,0,0,0,40,39,<=50K
401,26,4,185885,12,4,13,2,4,0,0,0,20,39,<=50K
402,17,4,40299,7,4,12,3,4,0,0,0,25,39,<=50K
403,27,4,500068,9,2,8,0,4,1,0,0,36,27,<=50K
404,43,4,51494,9,2,6,0,4,1,0,0,65,39,<=50K
405,35,4,179481,9,4,14,3,4,1,0,0,55,39,<=50K
406,38,4,365907,13,0,0,4,4,0,0,0,40,39,<=50K
407,26,4,284343,9,4,6,1,4,1,0,0,40,39,<=50K
408,28,4,204862,10,4,3,3,4,0,0,0,40,39,<=50K
